okey,idx,start_sec,end_sec,duration_sec,kana
l37,1,0.782676,1.368254,0.585578,ようじ@0
l37,2,2.880771,3.5322,0.6514289999999998,たいかい@0
l37,3,4.579501,4.979955,0.40045400000000075,きぼ@1
l37,4,6.244762,7.042721,0.7979590000000005,けいかく@0
l37,5,7.982494,8.574195,0.5917009999999996,きそく@1
l37,6,9.704535,10.252154,0.547619000000001,ひよう@1
l37,7,11.213061,11.819229,0.6061680000000003,しお@2
l37,8,13.208209,13.777778,0.5695689999999995,メダル@0
l37,9,14.829297,15.417279,0.5879820000000002,ソフト@1
l37,10,16.717098,17.325533,0.6084350000000001,はんにん@1
l37,11,18.555828,18.962812,0.4069839999999978,かわ@2
l37,12,20.311338,21.090975,0.779637000000001,てつどう@0
l37,13,22.688844,23.498005,0.8091609999999996,ぜんちょう@0
l37,14,24.56771,25.332063,0.7643529999999998,ばんごう@3
l37,15,26.921088,27.413197,0.49210899999999924,たんい@1
l37,16,28.689388,29.308118,0.6187299999999993,こさじ@0
l37,17,30.939093,31.750703,0.8116100000000017,ボリューム@0
l37,18,33.141678,34.280907,1.1392290000000003,ちょくつうれっしゃ@5
l37,19,35.970612,37.11356,1.142947999999997,せかいいさん@4
l37,20,38.444807,39.644535,1.1997280000000003,かんこうスポット@6
l37,21,41.172698,41.976644,0.8039460000000034,こえます@3
l37,22,43.54458,44.766667,1.2220869999999948,しゅつじょうします@6
l37,23,45.715918,46.994966,1.279047999999996,しゃくほうします@6
l37,24,48.327891,49.627392,1.2995009999999994,つまみぐいします@7
l37,25,50.917324,51.945533,1.0282089999999968,かんさんします@6
l37,26,53.285125,54.447029,1.1619039999999998,ふくしゅうします@6
l37,27,55.613288,56.706848,1.0935600000000036,せいこうします@6
l37,28,58.022585,58.514422,0.49183700000000385,よわい@2
l37,29,60.033107,60.781587,0.7484800000000007,きびしい@3
l37,30,62.011247,62.686893,0.6756460000000004,ぜいたく@0
l37,31,64.280726,64.980635,0.6999090000000052,こっそり@3
l37,32,66.223175,66.855329,0.6321539999999999,さすが@0
l37,33,68.291746,69.217007,0.9252609999999919,じっさいに@0
l37,34,70.468753,71.08381,0.6150569999999931,とうだい@0
l37,35,72.873787,73.936327,1.0625400000000127,はったつれい@4
l37,36,75.282721,78.764989,3.482268000000005,ペキン@1きたえき@2
l37,37,80.653696,83.286077,2.6323810000000094,
l37,38,84.400272,85.03415,0.6338779999999957,
